Flokkun,N,skipting,ath
Ophelina acuminata,39,¼,
Harpacticoida,26,¼,
Ostracoda,1,¼,
Nematoda,14,¼,
scalibregma inflatum,6,¼,
Maldanidae sp,2,¼,
Sabellidae sp,1,¼,Sjá myndir í síma um 10 nóv. 2021
Heteromastus filiformis,5,¼,
Cossura longocirrata,3,¼,
Chaetozone setosa,3,¼,
Cirratulidae,1,¼,
Microphthalmus aberrans,1,¼,
Polydora,1,¼,
Spionidae,3,¼,
Oligochaeta,1,¼,
Óþekkt,13,¼,"Angar, lirfur, afturendar, óviss"
Capitellidae,1,¼,óviss
Polychaeta,2,¼,Sjá myndir í folder á desktoppinu á labbanum
Macoma calcarea,8,4,
Ennucula tenuis,1,4,
