Flokkun,N,skipting,ath
Acarina sp,1,1,
Ampharete acutifrons,,,
Ampharete sp,,,
Amphipoda sp,,,
amphipoda ungv.,,,
Amphitrite affinis,,,
Amphitrite cirrata,,,
Arctica islandica,,,
Arenicola marina,,,
Aricidea suecica,,,
Ascidiacea sp,,,
Astartidae borealis,,,
Asteroidea,,,
Axionice maculata,,,
Bivalvia sp.,,,
Bivalvia ungv.,,,
Brada inhabilis,,,
Brada villosa,,,
Campanulariidae sp,,,
Capitella capitata,1,1,
Chaetozone setosa,1,1,
Cirratulus cirratus,,,
Copepoda sp,,,
Corophium bonnellii,,,
Cossura longocirrata,,,
Crenella sp,,,
Cumacea sp,,,
Dodecaceria concharum,,,
egg/lirfur,,,
Eteone longa ath,7,1,ath
Eteone suecica ath,,,
Eunoe nodosa,2,1,ath
Eupolymnia nesidensis,,,
Exogone hebes,,,
Exogone verrugera,,,
Flabelligera affinis???,,,
Foraminifera,,,
Galathowenia oculata,,,
Gastropoda ungv,,,
Gattyana cirrosa,,,
Harmothoe extenuata,,,
Harmothoe imbricata,1,1,
Harmothoe sp,,,
Henricia sanguinolenta,,,
Heteromastus filiformis,,,
Hiatella arctica,,,
Hyas araneus,,,
Lanassa venusta,,,
Lepeta caeca,,,
Lepidonotus squamatus,,,
Levinsenia gracilis,,,
Macoma calcaria,,,
Maldanidae sp,,,
Mediomastus filiformis,,,
Mediomastus fragilis,6,1,
Mediomastus fragilis,2,8,
Microphthalmus aberrans,,,
Moelleria costulata,,,
Musculus,,,
Myriochele oculata,,,
Nematoda sp,11,1,
Nematoda sp,23,8,
Nemertea?,,,
Nephtiydae sp,,,
Nereimyra punctata,,,
Oligochaeta sp.,,,
Ophiuroidea sp,,,
Ophryotrocha cf Cosmetandra,,,
Orbiniidae sp,,,
Ostracoda sp,,,
Pectinaria granulata,,,
Philomedes globosus,,,
Pholoe sp,,,
Phyllodoce maculata,,,
Phyllodocidae sp,,,
Polycirrinae sp.,,,
Polynoida ungv.,,,
Polyplacophora sp,,,
Porifera sp,,,
Praxillella praetermissa,,,
Protomedeia fasciata,,,
Pycnogonida sp,,,
Rhodine gracilior,,,
Sabellida sp,,,
Scoloplos armiger,,,
Sphaerosyllis erinaceus,,,
Sphaerosyllis ungv.,,,
Spionidae sp.,3,1,
Spionidae sp.,1,8,
Sternapsis scutata,,,
Syllidae sp,,,
Syllis cornuta,,,
Terebellidae sp,,,
Tubicoides benedi,,,
Tubicoides kozloffi,2,1,
Typosyllis armillaris,,,
